crop,price_per_quintal,demand_level,trend
rice,2200,high,stable
maize,1800,high,rising
chickpea,4500,medium,stable
kidneybeans,5500,medium,rising
pigeonpeas,5000,medium,stable
mothbeans,4800,low,falling
mungbean,6000,medium,rising
blackgram,5200,medium,stable
lentil,5800,medium,rising
pomegranate,8000,high,rising
banana,2500,high,stable
mango,6000,high,rising
grapes,7500,high,rising
watermelon,1500,high,stable
muskmelon,2000,medium,stable
apple,9000,high,rising
orange,4000,high,stable
papaya,2200,high,rising
coconut,3000,medium,stable
cotton,6500,high,rising
jute,3500,medium,falling
coffee,15000,high,rising
